aptitude,personality,interest,cognitive,decision_making,job_domain
2,1,2,2,2,Software Engineer
2,0,1,1,0,UI/UX Designer
0,2,2,0,0,Mobile App Developer
1,0,0,1,0,Technical Writer
2,1,2,2,2,Data Scientist
1,0,2,2,1,AI/ML Engineer
1,2,1,1,2,Content Creator
2,1,1,0,0,Software Engineer
0,1,2,2,0,Software Engineer
1,0,1,2,1,Cloud Engineer
1,0,1,0,0,Software Engineer
0,1,0,1,2,Software Engineer
0,1,1,1,2,Game Developer
1,1,2,2,1,Content Creator
0,2,2,0,2,Cybersecurity Analyst
0,0,1,2,2,Software Engineer
0,2,1,2,2,Technical Writer
2,2,2,0,0,Technical Writer
2,1,1,0,2,Technical Writer
0,0,2,0,2,Software Engineer
1,0,2,0,1,Cybersecurity Analyst
0,0,0,2,1,Game Developer
1,0,2,1,1,Cloud Engineer
0,0,0,1,2,Technical Writer
0,2,1,0,0,Mobile App Developer
2,0,0,1,1,Data Scientist
2,2,2,2,0,Mobile App Developer
2,0,2,2,0,Technical Writer
1,1,0,2,0,Content Creator
2,0,2,0,2,Content Creator
0,1,1,0,2,Data Scientist
0,2,1,1,0,Technical Writer
1,0,0,1,2,AI/ML Engineer
0,2,1,1,0,Cybersecurity Analyst
1,2,0,1,0,UI/UX Designer
1,2,0,1,0,Software Engineer
0,0,1,0,0,UI/UX Designer
2,1,2,0,2,UI/UX Designer
0,0,0,0,2,Content Creator
2,0,0,2,2,Cloud Engineer
2,2,2,0,1,UI/UX Designer
1,0,1,1,1,UI/UX Designer
1,0,2,0,0,Content Creator
0,1,2,1,1,Technical Writer
2,2,0,2,1,UI/UX Designer
2,1,0,1,0,Technical Writer
1,1,1,1,2,UI/UX Designer
0,2,2,1,2,Data Scientist
2,1,2,2,1,AI/ML Engineer
2,0,0,2,0,AI/ML Engineer
2,1,1,1,0,Mobile App Developer
1,0,0,2,0,AI/ML Engineer
2,2,2,0,2,Mobile App Developer
1,0,2,1,1,Software Engineer
1,2,1,0,0,Mobile App Developer
0,1,0,1,2,Cybersecurity Analyst
1,1,0,2,0,Content Creator
2,0,2,1,0,Cybersecurity Analyst
2,1,2,0,0,Technical Writer
1,2,0,1,1,Mobile App Developer
1,1,0,2,1,Software Engineer
2,2,2,2,2,AI/ML Engineer
0,0,1,1,2,Cloud Engineer
1,1,1,2,0,Technical Writer
2,2,1,2,1,Technical Writer
1,1,0,1,0,Mobile App Developer
0,1,1,2,0,Technical Writer
1,0,2,2,2,Content Creator
2,0,0,0,2,Software Engineer
2,2,1,2,2,Content Creator
1,0,1,0,1,Game Developer
2,0,0,0,1,UI/UX Designer
2,1,1,0,2,Game Developer
2,0,1,1,2,Data Scientist
1,0,2,2,2,AI/ML Engineer
2,2,2,1,2,AI/ML Engineer
2,2,1,0,1,Technical Writer
2,2,2,0,1,Mobile App Developer
0,1,0,1,2,Cybersecurity Analyst
0,0,1,2,1,Technical Writer
2,2,0,2,0,Software Engineer
0,0,2,0,0,UI/UX Designer
2,0,1,0,2,Cloud Engineer
1,0,0,0,1,Cloud Engineer
2,1,2,0,1,Data Scientist
0,2,2,0,2,UI/UX Designer
0,1,1,2,0,Cybersecurity Analyst
1,2,2,1,1,Mobile App Developer
2,2,1,1,2,Mobile App Developer
2,2,1,0,1,Cloud Engineer
0,0,2,2,2,Content Creator
2,0,2,0,0,Software Engineer
2,1,2,0,1,Cloud Engineer
2,2,1,2,1,Cloud Engineer
0,2,1,0,0,UI/UX Designer
2,1,2,0,1,Cloud Engineer
1,1,1,0,1,UI/UX Designer
1,2,1,0,1,Cloud Engineer
0,1,0,2,0,Cybersecurity Analyst
1,2,1,2,2,Content Creator
